first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,value_per_m
Benjamin,Sesko,9,2,98,1498,29,142.2,414.0,725.0,17,344,127.2,2,0,2,6.2,73,FWD,13.4
Senne,Lammens,0,0,88,2430,34,0.0,511.0,2.0,9,330,51.3,6,0,0,3.5,51,GK,17.3
Shea,Lacey,0,0,2,12,0,1.5,4.0,11.0,0,8,1.5,0,0,0,0.0,45,MID,0.4
Bendito,Mantato,0,0,1,15,0,11.7,2.2,0.0,0,3,1.4,0,0,0,0.0,45,MID,0.2
Tyler,Fletcher,0,0,1,1,0,1.0,0.4,0.0,0,3,0.1,0,0,0,0.0,44,MID,0.2
Godwill,Kukonki,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,0.0
Jim,Thwaites,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Jacob,Ramsey,2,1,42,1141,26,259.1,215.0,141.0,1,212,61.5,1,1,3,0.2,53,MID,7.9
Yoane,Wissa,1,0,21,423,9,35.8,54.0,139.0,0,64,22.1,1,0,1,0.6,73,FWD,2.9
Nick,Pope,0,1,82,1966,32,0.0,505.8,35.0,3,336,54.1,7,0,1,4.3,50,GK,16.4
Mark,Gillespie,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,GK,0.0
Odysseas,Vlachodimos,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK,0.0
Lewis,Hall,1,2,74,1884,35,362.3,488.0,155.0,4,311,100.5,4,0,3,3.8,54,DEF,13.7
Fabian,Schär,0,0,51,1089,13,63.6,291.2,108.0,0,186,46.4,4,0,1,1.1,52,DEF,9.8
Sven,Botman,1,1,70,1384,21,72.4,427.2,163.0,6,258,66.3,5,0,2,0.4,49,DEF,14.3
Dan,Burn,0,3,79,1827,31,88.9,423.0,122.0,5,232,63.5,6,1,7,3.4,50,DEF,15.8
Tino,Livramento,0,1,59,1326,14,199.7,219.4,42.0,3,252,46.1,6,0,1,1.9,49,DEF,12.0
Kieran,Trippier,0,1,51,1501,26,465.0,274.6,14.0,2,211,75.3,5,0,3,1.4,49,DEF,10.4
Emil,Krafth,0,0,0,45,2,1.2,1.4,0.0,0,-8,0.3,0,0,0,0.0,43,DEF,0.0
Jamaal,Lascelles,0,0,1,19,2,0.0,10.2,7.0,0,0,1.7,0,0,0,0.0,43,DEF,0.2
Alex,Murphy,0,0,1,1,1,0.0,2.2,0.0,0,-1,0.2,0,0,0,0.7,38,DEF,0.3
Harrison,Ashby,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,DEF,0.0
Miodrag,Pivaš,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,38,DEF,0.0
Matt,Targett,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
Anthony,Gordon,6,4,101,1798,30,404.2,393.8,514.0,10,352,130.9,8,1,3,5.5,74,MID,13.6
Anthony,Elanga,0,1,45,1269,27,265.5,129.4,179.0,0,171,57.1,2,0,0,2.7,65,MID,6.9
Harvey,Barnes,5,0,86,1757,28,318.4,302.0,605.0,8,271,122.1,5,0,1,1.1,61,MID,14.1
Bruno,Guimarães Rodriguez Moura,9,6,135,2047,32,650.2,693.4,398.0,19,592,174.3,6,0,5,4.5,68,MID,19.9
Jacob,Murphy,3,1,67,1354,17,337.6,278.2,323.0,2,265,92.8,7,0,2,0.6,59,MID,11.4
Joelinton Cássio,Apolinário de Lira,2,1,67,1770,25,262.6,304.6,311.0,2,281,87.9,5,0,10,0.3,59,MID,11.4
Sandro,Tonali,0,2,75,2212,35,460.4,351.2,173.0,2,418,98.8,7,0,3,1.1,53,MID,14.2
Antoñito,Cordero Campillo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,0.0
Joe,Willock,0,1,28,693,13,147.8,96.2,112.0,0,114,35.5,3,0,3,0.1,50,MID,5.6
Isaac,Hayden,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Garang,Kuol,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,MID,0.0
Lewis,Miley,1,4,68,1313,20,236.3,314.6,134.0,5,310,68.5,2,0,0,1.9,44,MID,15.5
