Understat_ID, FPL_ID, Understat_Name, FPL_Name
-1,499,,Alexander Isak
-1,661,,Hugo Ekitiké
-1,686,,Rio Ngumoha
-1,692,,Giovanni Leoni
-1,746,,Kieran Morrison
-1,760,,Wellity Lucky
-1,82,,Antoine Semenyo
-1,182,,James Trafford
-1,260,,Marc Guéhi
-1,399,,Ederson Santana de Moraes
-1,400,,Stefan Ortega Moreno
-1,401,,Marcus Bettinelli
-1,402,,Rayan Aït-Nouri
-1,403,,Joško Gvardiol
-1,404,,Manuel Akanji
-1,405,,Nathan Aké
-1,406,,Abdukodir Khusanov
-1,407,,Matheus Nunes
-1,408,,Rúben dos Santos Gato Alves Dias
-1,409,,John Stones
-1,410,,Rico Lewis
-1,411,,Nico O'Reilly
-1,412,,Vitor de Oliveira Nunes dos Reis
-1,413,,Omar Marmoush
-1,414,,Phil Foden
-1,415,,Sávio Moreira de Oliveira
-1,416,,Bernardo Mota Veiga de Carvalho e Silva
-1,417,,Rayan Cherki
-1,418,,Jérémy Doku
-1,420,,İlkay Gündoğan
-1,421,,Rodrigo 'Rodri' Hernandez Cascante
-1,422,,Mateo Kovačić
-1,423,,Nico González Iglesias
-1,424,,Oscar Bobb
-1,425,,Claudio Echeverri
-1,427,,Tijjani Reijnders
-1,428,,Sverre Nypan
-1,429,,Kalvin Phillips
-1,430,,Erling Haaland
-1,736,,Gianluigi Donnarumma
-1,739,,Divine Mukasa
-1,740,,Stephen Mfuni
-1,742,,Ryan McAidoo
-1,763,,Charlie Gray
-1,764,,Reigan Heskey
-1,794,,Max Alleyne
-1,119,,Bryan Mbeumo
-1,431,,Altay Bayındır
-1,432,,André Onana
-1,433,,Elyh Harrison
-1,434,,Tom Heaton
-1,435,,Dermot Mee
-1,436,,Matthijs de Ligt
-1,437,,Lisandro Martínez
-1,438,,Noussair Mazraoui
-1,439,,Diego León Blanco
-1,440,,Diogo Dalot Teixeira
-1,441,,Patrick Dorgu
-1,442,,Harry Maguire
-1,443,,Luke Shaw
-1,444,,Leny Yoro
-1,445,,Harry Amass
-1,446,,Tyler Fredricson
-1,447,,Ayden Heaven
-1,448,,Tyrell Malacia
-1,449,,Bruno Borges Fernandes
-1,450,,Matheus Santos Carneiro da Cunha
-1,451,,Marcus Rashford
-1,452,,Amad Diallo
-1,454,,Antony dos Santos
-1,455,,Mason Mount
-1,457,,Carlos Henrique Casimiro
-1,458,,Kobbie Mainoo
-1,459,,Manuel Ugarte Ribeiro
-1,460,,Toby Collyer
-1,461,,Jayce Fitzgerald
-1,462,,Jack Fletcher
-1,463,,Sékou Koné
-1,464,,Jack Moorhouse
-1,465,,Rasmus Højlund
-1,466,,Joshua Zirkzee
-1,467,,Chido Obi
-1,468,,Ethan Wheatley
-1,681,,Benjamin Sesko
-1,733,,Senne Lammens
-1,755,,Shea Lacey
-1,769,,Bendito Mantato
-1,771,,Tyler Fletcher
-1,788,,Godwill Kukonki
-1,52,,Jacob Ramsey
-1,135,,Yoane Wissa
-1,469,,Nick Pope
-1,471,,Mark Gillespie
-1,472,,Odysseas Vlachodimos
-1,473,,Lewis Hall
